payment_id,payment_date,value_date,debtor_account_id,creditor_account_id,payment_type,amount,currency,exchange_rate,creditor_bank,creditor_account_number,creditor_name,payment_reference,payment_status,settlement_date,settlement_lag_days,fee_amount,fee_type
3ed9c616-864e-440e-98a2-33537efae7f4,2021-06-20,2021-06-20,f7a5dcd7-4630-4a18-93a5-779329619bcd,8ffebd8f-bd1a-4b21-a6de-d6f7951a172a,EFT,86330.67,ZAR,1.0,Prime Capital Bank,2549243415,PCB Customer,PAY632976241,Settled,2021-06-20,0,222.0,Percentage
d19897f5-274f-4980-a3c5-c24d0a024402,2020-07-08,2020-07-10,b2fe7934-999d-4ae6-9944-c705934eed6c,b9a2e436-4646-413a-baf6-340f3f9ab231,EFT,43802.66,ZAR,1.0,Prime Capital Bank,7197967737,PCB Customer,PAY403379404,Settled,2020-07-10,2,0.0,None
c16aa1b5-235b-4da4-99ea-391699140e98,2023-12-07,2023-12-07,1e548bf2-0c94-444d-918c-8ddfbad08b16,883dac4c-abad-4a25-966e-9246179d99d2,Internal,76801.33,ZAR,1.0,Prime Capital Bank,9401753697,PCB Customer,PAY963068463,Settled,2023-12-07,0,25.0,Fixed
192435e5-eec5-4816-b4ce-0f1aa2973b70,2017-09-18,2017-09-20,d4dd2c15-4e95-4e6e-b639-868d43882ce1,1bcf2566-faba-4595-83df-25bc79ecb26e,EFT,181533.92,ZAR,1.0,Prime Capital Bank,6109469107,PCB Customer,PAY652222108,Settled,2017-09-20,2,25.0,Fixed
ead3e736-af93-4bef-ac43-16ea012e0b4e,2016-08-15,2016-08-15,bd89197d-dcfe-408b-9b1f-77ab84abebef,1d22c4d4-8bc6-483a-9edf-1aa3f20d3506,Internal,385865.64,ZAR,1.0,Prime Capital Bank,1897072740,PCB Customer,PAY639249087,Settled,2016-08-15,0,0.0,None
61adc868-896f-4da7-ae5e-31a341cacf4a,2021-03-21,2021-03-21,7900d686-35fd-42c3-a931-b09dfe86b9a1,ff5ac077-fa5d-469e-851b-4018f6af612c,Internal,242074.57,ZAR,1.0,Prime Capital Bank,3933851809,PCB Customer,PAY780832060,Settled,2021-03-21,0,100.0,Fixed
9c01d73e-4184-49bb-bad3-ec748ccb34b8,2019-06-29,2019-07-01,52285b09-d17e-485f-9900-f7c63a08ff38,4e3c15f7-5567-48ba-bddf-c97ecd012974,Debit Order,116408.84,ZAR,1.0,Prime Capital Bank,8776908812,PCB Customer,PAY771881379,Settled,2019-07-01,2,15.0,Fixed
3d3b6397-8873-4cf9-ad89-9ad5fb636dc7,2015-11-06,2015-11-06,d42cc431-8fa5-4013-b66d-aff7c96049c4,91ca2a02-96fd-4f3e-aa22-ef0e7e0d3ff9,Debit Order,130915.91,ZAR,1.0,Prime Capital Bank,5852195828,PCB Customer,PAY548599768,Settled,2015-11-06,0,265.33,Percentage
44f98a8b-c78e-4617-a10b-6fac3995473e,2016-09-05,2016-09-07,7f0e17af-0739-4098-a228-88ef6bbcdbde,21bf705c-cf60-4e81-b57f-5b3690812c3b,EFT,49960.95,ZAR,1.0,Prime Capital Bank,9239090192,PCB Customer,PAY671394692,Pending,2016-09-07,2,0.0,None
fb229542-3da6-4f7d-adf3-e13fca1715bc,2022-07-18,2022-07-20,7aef813b-dc7c-43e8-9b97-6ed2aa92d763,7d9f3c81-8791-4444-9cdc-6cfd84a24e37,EFT,199350.98,ZAR,1.0,Prime Capital Bank,1571577634,PCB Customer,PAY709816379,Settled,2022-07-20,2,15.0,Fixed
60e545c7-8570-4ffd-a341-748a0778c56a,2024-08-26,2024-08-28,c0d1eec7-3925-4a63-a4c1-099fb377957b,ff5f57bf-03f1-4204-9141-62cc07037762,Debit Order,26414.6,ZAR,1.0,Prime Capital Bank,5632271702,PCB Customer,PAY183309106,Settled,2024-08-28,2,106.93,Percentage
f77b0aa1-a429-49f1-bd1f-e1013594274d,2020-07-01,2020-07-03,42fd6454-d2cb-4eb4-b0e8-c79d19c37fa2,b1d9d70e-1ccb-4dce-aa9f-3ac30e1381e1,EFT,145312.79,ZAR,1.0,Prime Capital Bank,6228012361,PCB Customer,PAY175927367,Settled,2020-07-03,2,0.0,None
