customer_id,customer_number,first_name,last_name,id_number,date_of_birth,gender,race,email,phone,mobile_phone,street_address,suburb,city,province,postal_code,employment_status,employer_name,job_title,annual_income,income_source,credit_score,customer_segment,onboarding_date,onboarding_channel,kyc_status,fica_status,is_active,churn_date,relationship_manager_id,nationality,country_of_birth,tax_number,vat_number,marketing_consent,digital_consent
79ed2e81-d033-4bea-a3d9-faeb7e9b80e5,PCB9851745648,Siyabonga,Nkosi,5209146810081,1952-09-14,M,Black,bdlungwana@example.org,0822687056,0795662462,4908 Paul Kruger Ithafa,Vincent,East London,Eastern Cape,8814,Employed,Sishangwe LLC,Environmental health practitioner,581399,Salary,609,Emerging Affluent,2017-06-05,Mobile,Verified,Compliant,True,,,South African,South Africa,8755749566,,True,True
22dbb7eb-1dd1-4d80-8cb9-73cf52e8c294,PCB2593765711,Musa,Barker,7011148181082,1970-11-14,M,Black,nomthandazoshelembe@example.com,0813046990,0623983735,711 Rivonia Isitaladi,Universitas,Bethlehem,Free State,4968,Unemployed,,,150836,Social Grant,543,Mass Market,2016-03-03,Branch,Pending,Non-Compliant,True,,,South African,South Africa,6173344564,,True,True
443feac0-db02-4215-bac3-8466225e9316,PCB6418365941,Owethu,Norton,7501303118088,1975-01-30,F,Black,geraldinerees@example.net,0797717535,0716093204,23 Clarence Isitaladi,Fourways,Midrand,Gauteng,9066,Self-Employed,"Pritchard, Thomas and Nicholls",Multimedia specialist,232403,Pension,444,Mass Market,2018-08-21,Online,Verified,Compliant,True,,,South African,South Africa,2416760621,,True,True
919f035a-d76e-41e6-b5d5-bf87e5a78404,PCB7402059279,Elliott,Marsden,9711147765087,1997-11-14,M,Black,vanessaphillips@example.net,0655228728,0840801006,7327 William Indawo,Vincent,Queenstown,Eastern Cape,2253,Student,,,376121,Social Grant,560,Mass Market,2020-03-10,Branch,Verified,Compliant,True,,,South African,South Africa,7467073633,,True,True
dadbdb7a-ad83-4e90-9356-19f735b66d27,PCB9661772834,Suzanne,Collins,6803193996087,1968-03-19,F,Black,abbiemorley@example.net,0874840862,0631823398,23 Morris Meadow,Fauna Park,Thohoyandou,Limpopo,4136,Employed,"Onjengenyamazane, Ximba and Gobhozi",Ambulance person,388953,Investment,514,Emerging Affluent,2020-06-17,Branch,Verified,Compliant,False,2022-11-06,,South African,South Africa,7038841740,,True,True
8faad975-760d-4b08-916c-7797fd6f153f,PCB4262396395,Thando,Mavela,7004275660082,1970-04-27,M,Black,emncube@example.com,0626668700,0862176591,"Studio 48
Gail Stravenue",Fourways,Pretoria,Gauteng,8654,Employed,Lloyd-Turner,"Chemist, analytical",388957,Pension,521,Emerging Affluent,2015-11-13,Branch,Pending,Compliant,True,,,South African,South Africa,7729286656,,True,True
7c1c57bc-fea1-40c0-b55c-c843f9ddd24b,PCB2350701477,Marion,Hlabangane,5202094448080,1952-02-09,F,Black,olwethu28@example.org,0669261429,0679685621,5 Sheila Tunnel,Fourways,Sandton,Gauteng,8205,Employed,"Mathunjwa, Sothole and Ndiyema",Clinical research associate,2346808,Business,658,Affluent,2020-06-09,Branch,Verified,Compliant,True,,RM1539,South African,South Africa,5621463184,,True,True
a402e265-cc8d-46d1-9ec2-5bd8cf1ace26,PCB3107125807,Trevor,Mthinti,9807157673082,1998-07-15,M,Black,sibekonozizwe@example.org,0728662961,0834311426,5782 Napier Indawo,Fauna Park,Thohoyandou,Limpopo,2528,Employed,"Nzuza, Mabhoko and Dimba",Medical laboratory scientific officer,248224,Business,471,Mass Market,2016-09-26,Branch,Verified,Compliant,False,2018-05-08,,South African,South Africa,6618965944,,True,True
1f752c62-b00d-40bc-b0eb-8ba757d5b8c1,PCB2752536389,Kenneth,Phewa,8808236535083,1988-08-23,M,Black,pturner@example.com,0601581995,0730466183,"Flat 3
Philip Junction",Sea Point,Stellenbosch,Western Cape,9371,Retired,,,125717,Pension,454,Mass Market,2020-04-09,Online,Verified,Compliant,True,,,South African,South Africa,6447765697,,False,True
239ae69f-6fe0-4b40-91cf-cea7b0f8cec4,PCB6845987005,Thalente,Mqadi,6112072455083,1961-12-07,F,Black,phuthinimandlakhe@example.net,0677993712,0690659657,3738 Somerset Indawo,Westville,Richards Bay,KwaZulu-Natal,5485,Employed,"Mboko, Msamkhulu and Mkholo",Actor,219346,Salary,462,Mass Market,2020-08-18,Mobile,Verified,Compliant,True,,,South African,South Africa,6585327015,,True,True
06b4cbf1-5e59-4e2f-93b9-72bec63fdd0f,PCB6336171726,Adrian,Mann,8108096455084,1981-08-09,M,Black,longodezakhele@example.com,0734651939,0812807374,"Studio 7
Ellie Shoal",Glenwood,Newcastle,KwaZulu-Natal,1134,Unemployed,,,126136,Social Grant,463,Mass Market,2022-09-22,Mobile,Verified,Compliant,True,,,South African,South Africa,8015124886,,False,True
04d8ed45-f4c5-422c-9678-d8c8ce690ee3,PCB8265834251,Mnqobi,Mathula,0104160605088,2001-04-16,F,Black,maryakhtar@example.com,0810589113,0855290965,181 Paul Kruger Umgwaqo,Beacon Bay,Queenstown,Eastern Cape,7053,Self-Employed,Cibane Ltd,Clinical embryologist,125976,Salary,450,Mass Market,2023-08-11,Branch,Verified,Compliant,True,,,South African,South Africa,6244291385,,True,True
90de2424-c3c9-493f-a5c9-9bb234518d61,PCB6563839027,Thando,Poole,6508096234082,1965-08-09,M,Black,yayize@example.com,0621254573,0797571775,"Studio 8
Nash Hill",Vincent,King William's Town,Eastern Cape,1101,Self-Employed,Mbhobho Group,Quarry manager,185921,Salary,473,Mass Market,2024-05-23,Mobile,Verified,Compliant,True,,,South African,South Africa,3783009621,,True,True
12f2f83e-8dda-4197-ad36-0a7ffee58769,PCB2984507492,Bandile,Kerr,9804049521088,1998-04-04,M,Black,mahlobomcebisi@example.org,0732266093,0769660334,4361 Stanley Indawo,Universitas,Welkom,Free State,1026,Employed,Mhlanga Ltd,Interior and spatial designer,56822,Salary,353,Mass Market,2021-03-20,Mobile,Verified,Compliant,True,,,South African,South Africa,6141394879,,False,True
12e6b9ee-2be7-4214-ad3c-2fd93578dfc5,PCB5785590330,Silondile,Dubandlela,5301302567082,1953-01-30,F,Black,dennis53@example.com,0727924991,0852513412,475 John Mount,Bellville,Paarl,Western Cape,6117,Unemployed,,,171321,Social Grant,453,Emerging Affluent,2018-12-10,Online,Verified,Compliant,True,,,South African,South Africa,6942989052,,False,True
b6d87c10-28ea-453a-9463-3da693da5073,PCB5336127859,Joshua,Thembekwayo,7907219011084,1979-07-21,M,White,jenniferlee@example.net,0643688767,0747721903,841 Arthur Crescent,Bendor,Tzaneen,Limpopo,4786,Employed,Mathonsi and Sons,Consulting civil engineer,119460,Salary,478,Mass Market,2016-07-06,Branch,Verified,Compliant,True,,,South African,South Africa,3193894984,,True,True
0efb1307-2e35-4775-952c-fccda5c4af82,PCB2826025489,Thalente,Martin,6807094440085,1968-07-09,F,Black,dsmith@example.org,0873407451,0761339596,"Flat 0
Vaughan Route",Glenwood,Pinetown,KwaZulu-Natal,2720,Employed,"Mbokazi, Mayeza and Ndonga",Trade union research officer,93241,Business,449,Mass Market,2024-06-03,Mobile,Verified,Compliant,True,,,South African,South Africa,7743417981,,True,True
0a9a3294-c936-41b8-828c-3ca45cc8d16c,PCB4501175349,Gugu,Nsele,8309282397088,1983-09-28,F,Black,thembekwayothabisile@example.net,0646042232,0865367294,50 Cecil Umgwaqo,Glenwood,Pietermaritzburg,KwaZulu-Natal,6787,Self-Employed,Cox PLC,"Surveyor, mining",193461,Salary,447,Mass Market,2016-12-16,Branch,Verified,Compliant,True,,,South African,South Africa,8515344013,,True,True
14407c92-24a5-4b5f-9183-82abcbe690e4,PCB9989974968,Rosie,Msweli,8509052681088,1985-09-05,F,Black,nomathembadladla@example.org,0765186363,0784545892,"Studio 34k
Margaret Well",Westville,Newcastle,KwaZulu-Natal,9276,Employed,Richardson Ltd,Manufacturing systems engineer,268494,Pension,515,Emerging Affluent,2018-07-11,Mobile,Pending,Compliant,True,,,British,United Kingdom,1197323378,,True,True
b0d6b70d-63ae-466a-bc5d-dcd27e6a5966,PCB2837384013,Zakhele,Morton,8806221294088,1988-06-22,F,Black,stewart33@example.org,0862424154,0625206436,541 Churchill Indawo,Walmer,Port Elizabeth,Eastern Cape,1495,Unemployed,,,74849,Social Grant,441,Mass Market,2019-09-10,Branch,Verified,Compliant,True,,,South African,South Africa,8215470878,,False,True
7a82fc95-2e3f-4291-bcd9-16146d4b26f8,PCB1304205279,S'fiso,Thomas,8408108459080,1984-08-10,M,Indian,terry69@example.net,0731115542,0732218909,7340 Main Indawo,Sandton,Midrand,Gauteng,2689,Employed,"Robinson, Wilkinson and Singh",Games developer,990640,Salary,547,Emerging Affluent,2020-02-27,Online,Verified,Compliant,True,,,South African,South Africa,8243746556,,True,False
