account_id,account_number,customer_id,account_type,product_name,branch_code,branch_name,branch_province,open_date,close_date,status,current_balance,available_balance,ledger_balance,interest_rate,interest_type,currency,credit_limit,last_transaction_date
ae0af86c-b7f4-462b-afe9-f12f61f68957,3705292285,7bfaa120-090a-4fb9-8675-9dc0fc952ff3,Fixed Deposit,PCB Fixed 12M,641958,PCB Queenstown Branch,Eastern Cape,2024-02-11,,Active,167551.2,160622.31,167127.42,0.1716,Prime-linked,ZAR,0.0,2024-10-09
d18e1089-a842-43b7-969c-6d1d1f295c36,5631937550,c978e671-abb7-4632-8b23-ab955c9acf81,Savings Account,PCB Goal Saver,234430,PCB Nelspruit Branch,Mpumalanga,2024-12-30,,Active,17213.73,16381.75,16952.62,0.1496,Fixed,ZAR,0.0,2024-12-31
10deeddf-bfe5-4913-ad0f-078933bd1db7,3185637929,a230f313-bffe-4fb1-884a-180392f85ad8,Fixed Deposit,PCB Fixed 36M,107945,PCB Brits Branch,North West,2024-12-24,,Active,39324.55,38318.65,39429.57,0.0211,Prime-linked,ZAR,0.0,2024-12-29
d74c8c65-75dd-49a9-b0a2-026d520ecaf2,7235827508,a12a2645-12e2-4598-80ad-c5ef43c7195e,Savings Account,PCB Goal Saver,781673,PCB Thohoyandou Branch,Limpopo,2019-10-24,,Active,359.63,340.04,-61.32,0.1671,Prime-linked,ZAR,0.0,2021-08-11
772e3d34-d43e-4895-aef2-18b73d4c324a,9791329940,17c491c0-b59f-4e9f-8213-df727ebad8dc,Cheque Account,PCB Premier Cheque,569511,PCB Umhlanga Branch,KwaZulu-Natal,2020-01-08,,Active,18104.49,17394.07,17970.24,0.1375,Prime-linked,ZAR,329921.04,2022-04-02
53e99d47-7fff-49fd-b03c-33b8a0720d63,2338991451,816dc65f-d7ce-4214-a3f0-1291f7e1b5bc,Savings Account,PCB Flexi Save,168034,PCB Midrand Branch,Gauteng,2018-08-13,,Active,11686.01,11682.86,11471.07,0.1343,Fixed,ZAR,0.0,2022-02-08
97b2bf7b-0706-4b97-9b55-941b9fbbfc0d,1765410735,ba514b81-7ce2-4fc4-8c11-312504268c01,Savings Account,PCB Goal Saver,466975,PCB Bellville Branch,Western Cape,2024-08-23,,Active,10420.0,9383.77,10168.64,0.2081,Fixed,ZAR,0.0,2024-09-30
6bc1ea0e-480b-468a-8821-8d680beb68b0,7501470331,60e9b09c-e343-401f-9e56-3f88d8ea072a,Fixed Deposit,PCB Fixed 12M,144693,PCB Potchefstroom Branch,North West,2021-03-21,,Active,42592.22,40962.56,42861.17,0.1738,Fixed,ZAR,0.0,2022-07-22
f84582bd-160f-41e9-8e4c-01cea251f754,5945877165,60e9b09c-e343-401f-9e56-3f88d8ea072a,Credit Card,PCB Infinite Credit Card,670816,PCB Mokopane Branch,Limpopo,2024-01-10,,Active,-2574.02,22605.25,-3052.98,0.1029,Variable,ZAR,36314.17,2024-01-16
09b303a1-dbce-4dec-b754-740cda3947ca,6311714868,1be44988-6b94-488c-8b74-8099fcf311ad,Cheque Account,PCB Premier Cheque,442505,PCB Louis Trichardt Branch,Limpopo,2023-01-26,,Active,2035.32,1966.54,2506.15,0.0891,Variable,ZAR,31716.4,2024-10-01
d804a65d-0427-41ad-882b-3ff9a511629a,9678690201,85b82117-2d26-41b2-a71e-0b9a810d82e6,Savings Account,PCB Flexi Save,224413,PCB Newcastle Branch,KwaZulu-Natal,2024-03-17,,Active,337.76,331.0,770.3,0.1381,Variable,ZAR,0.0,2024-08-17
9c219ddb-5da5-48b0-92a1-3bc7d177d20e,9772728905,f4be94ff-f06b-46a4-8cba-1a36fadcbac4,Business Account,PCB Enterprise Account,786981,PCB Queenstown Branch,Eastern Cape,2024-10-26,,Active,382233.12,363603.77,382238.71,0.2173,Fixed,ZAR,672977.75,2024-12-26
15433078-5938-4180-b955-3c30515cd4b9,1955019735,17c491c0-b59f-4e9f-8213-df727ebad8dc,Money Market,PCB Money Market Call,949833,PCB Bellville Branch,Western Cape,2024-10-09,,Active,4896287.32,4545890.04,4896386.81,0.1403,Fixed,ZAR,0.0,2024-12-28
2b856080-7195-4ecf-8ee8-a8dc8fa247f5,7601853764,d02aaa23-8d0f-485d-be99-dd27de191080,Cheque Account,PCB Plus Cheque,178589,PCB East London Branch,Eastern Cape,2017-06-16,,Active,2109.53,1917.46,2420.29,0.0883,Variable,ZAR,16220.94,2021-03-20
5d4df3a3-420b-4f1f-8676-c915f882f32d,2732065338,f555d33d-f80b-4502-ab66-8e64ef1b51f0,Cheque Account,PCB Premier Cheque,555275,PCB Soweto Branch,Gauteng,2017-03-05,,Active,4869.37,4789.99,4768.71,0.046,Prime-linked,ZAR,8075.03,2018-06-04
74ff7689-2554-458f-94ad-acfa3ea5790c,3912505621,2f418199-1049-4389-83b4-2ea755610f9d,Cheque Account,PCB Premier Cheque,486469,PCB Thohoyandou Branch,Limpopo,2021-09-27,,Dormant,10098.65,9419.78,9757.58,0.009,Fixed,ZAR,56212.73,2024-05-17
47541f2e-5f8f-465b-b73d-cbe5a9e76a05,4392849534,7bebd5d3-e468-4e58-8ba1-a51e5494d51f,Savings Account,PCB Flexi Save,488904,PCB Centurion Branch,Gauteng,2024-05-20,,Active,13133.63,11883.34,12996.99,0.0663,Variable,ZAR,0.0,2024-11-21
c0289eef-258a-4d7e-953a-2f26de856b9b,6464483966,27b64371-9beb-43d4-b155-f5264a48d714,Cheque Account,PCB Gold Cheque,341016,PCB East London Branch,Eastern Cape,2019-11-11,,Active,184.08,182.61,434.8,0.0686,Variable,ZAR,12140.68,2024-06-22
4c821eef-220b-4049-905b-2db203a164d4,4963606672,99bb606a-d40c-4df5-9890-d18086d5f335,Credit Card,PCB Infinite Credit Card,332612,PCB Kroonstad Branch,Free State,2024-12-24,,Active,-109.89,5720.99,-361.69,0.1597,Fixed,ZAR,14310.83,2024-12-30
91ca2a02-96fd-4f3e-aa22-ef0e7e0d3ff9,5852195828,90de2424-c3c9-493f-a5c9-9bb234518d61,Money Market,PCB Money Market 32-Day,542981,PCB Bethlehem Branch,Free State,2024-08-08,,Active,488230.4,481499.27,488114.77,0.1678,Variable,ZAR,0.0,2024-08-12
b5dc4269-fbe9-489c-a309-cc3252c9a46e,2689514409,cd2e6f39-f46e-4121-baa3-933966d859b5,Business Account,PCB Business Premium,584175,PCB Paarl Branch,Western Cape,2024-11-04,2024-12-05,Closed,454071.9,412894.41,454088.84,0.0157,Fixed,ZAR,231080.14,2024-12-05
a6235eb3-fb7d-4905-a0ac-f67bc3265630,9966732169,175ee67e-b6bf-4c61-ab3e-60cb4c9c4bac,Cheque Account,PCB Plus Cheque,844836,PCB Durban Branch,KwaZulu-Natal,2022-10-17,,Active,12777.92,12223.39,12286.28,0.0147,Fixed,ZAR,15130.97,2024-08-03
7867629d-04e0-4401-8c0b-ad6a57d69ac8,1708277937,9a3f7ed0-8efc-4452-905c-031240e0733f,Credit Card,PCB Infinite Credit Card,391431,PCB Durban Branch,KwaZulu-Natal,2023-02-25,,Active,-8129.02,12858.65,-8618.07,0.0526,Fixed,ZAR,35707.38,2024-10-23
e1fd2535-42c6-463e-84ac-3d2fa55c1357,8546155028,ba5dd48f-c112-4397-bc7a-8933ff5b11dc,Credit Card,PCB Gold Credit Card,341016,PCB East London Branch,Eastern Cape,2018-03-09,,Active,-145678.13,-143345.48,-145915.84,0.0398,Prime-linked,ZAR,100090.21,2023-05-06
b90f6827-19e5-4ff1-aa5b-d36146f8d145,1178928449,8acfa629-f833-45b6-9bd2-7eaf52e81aff,Cheque Account,PCB Prestige Cheque,202161,PCB Cape Town Branch,Western Cape,2018-10-15,,Active,16401.35,16022.04,16013.46,0.1478,Prime-linked,ZAR,39490.48,2023-03-10
200536da-3c80-4e75-8129-5e0e2a49b7d5,6676575488,4cfc8c61-65a0-4af9-b76e-627bb3429f67,Cheque Account,PCB Prestige Cheque,878160,PCB Queenstown Branch,Eastern Cape,2024-05-06,,Active,42980.64,38824.38,42829.46,0.1842,Variable,ZAR,66556.97,2024-12-31
1e53b0a6-0291-4e94-a0a2-29e0e92309fe,8273466105,2e55a89e-d749-4d86-862c-9b529be6064f,Savings Account,PCB Goal Saver,532613,PCB Upington Branch,Northern Cape,2024-11-29,,Active,59083.59,55594.49,58720.65,0.0752,Fixed,ZAR,0.0,2024-12-17
03ac280c-2885-425c-810f-34640340c550,6966953621,052a0fcd-ee38-4e04-92e9-1ae87b732a42,Savings Account,PCB Goal Saver,605258,PCB Welkom Branch,Free State,2024-06-12,,Active,43938.93,41681.37,43563.29,0.0086,Prime-linked,ZAR,0.0,2024-12-12
15d836c5-2708-4af9-a150-80a32e17257e,2593410040,f47cf1a9-3dd7-4779-925a-8b00d4d9459b,Fixed Deposit,PCB Fixed 36M,602867,PCB Secunda Branch,Mpumalanga,2022-09-25,,Active,129182.74,117733.08,129528.01,0.1727,Variable,ZAR,0.0,2023-11-14
9eb2861b-88c5-4fd2-90cf-dd5e43b539a9,5894286038,6ccbeb87-4cd6-46b3-81bc-6bc4ddb7301d,Cheque Account,PCB Plus Cheque,916190,PCB Soweto Branch,Gauteng,2023-04-27,,Active,7624.94,7585.04,7824.35,0.0886,Fixed,ZAR,43335.55,2024-06-18
24f0f41c-da50-4f98-aac7-d7517824a6d1,2744207811,e468483b-cf18-479d-8b10-3fc7f309a13a,Savings Account,PCB Flexi Save,980432,PCB Sandton Branch,Gauteng,2018-06-14,,Active,5621.49,5369.85,5417.82,0.195,Fixed,ZAR,0.0,2023-03-06
529d21f1-ce86-44e2-8070-5e6002e39d95,5101233476,7bebd5d3-e468-4e58-8ba1-a51e5494d51f,Money Market,PCB Money Market Call,371955,PCB Welkom Branch,Free State,2022-02-02,,Active,539679.4,486018.8,539545.37,0.0853,Fixed,ZAR,0.0,2024-03-09
ac69762d-252b-47d9-a5a5-23fc46fdcd28,5698219254,4899ed45-9c58-43fc-a9b1-110f1e0da786,Savings Account,PCB SaveSmart,850437,PCB Tzaneen Branch,Limpopo,2023-12-09,,Active,55086.82,52656.28,55266.21,0.1447,Variable,ZAR,0.0,2024-07-12
0a910acd-e3af-4d38-8a85-1e97329e38d0,6393018908,b51de595-a81c-4f1a-b6bd-8d8c8b2114ac,Savings Account,PCB Flexi Save,786981,PCB Queenstown Branch,Eastern Cape,2023-02-20,,Active,25220.7,24345.89,25160.74,0.0186,Fixed,ZAR,0.0,2023-08-22
e02b4cf0-c002-43de-9198-69dde51b94a9,8342913134,5c256c19-19f1-4458-9097-1493fe628d0c,Savings Account,PCB SaveSmart,916338,PCB Queenstown Branch,Eastern Cape,2020-12-18,,Active,10753.16,10489.39,10579.56,0.1023,Variable,ZAR,0.0,2021-04-12
610f1d22-f0ec-4784-a40a-fe69fd76e5ca,5528674657,0197d7ef-b2fb-457c-9bdd-b76dc3b0d59e,Cheque Account,PCB Premier Cheque,131962,PCB Polokwane Branch,Limpopo,2020-04-17,,Active,28146.82,27545.06,28326.83,0.0754,Fixed,ZAR,190245.02,2023-07-26
0cbf64fb-539c-4389-bdf0-0fce6d0f96aa,7003761377,f1223908-ced9-4191-98a2-7223e90fc330,Business Account,PCB Enterprise Account,543745,PCB Bethlehem Branch,Free State,2024-12-06,,Active,65938.58,65411.39,66081.57,0.1204,Variable,ZAR,125307.29,2024-12-23
526cd0f9-8455-4ce4-a30e-3b6875f0038d,2009538345,ea7e11b4-f9f8-4196-811a-38bd00b09c13,Savings Account,PCB Goal Saver,569511,PCB Umhlanga Branch,KwaZulu-Natal,2021-02-23,,Active,536.54,514.83,251.35,0.0776,Fixed,ZAR,0.0,2024-04-02
ae757f7d-80a3-4353-aa43-45dd08756f67,3013083040,fe1a8c18-0675-4320-8f1e-042b27d85a51,Cheque Account,PCB Premier Cheque,484034,PCB Umhlanga Branch,KwaZulu-Natal,2024-09-15,,Active,3538.07,3444.72,3708.62,0.1062,Variable,USD,33786.78,2024-09-15
2c7010ea-e15c-4612-ab64-06496e195c72,2139709122,7b6b59d2-c460-4e97-b24f-535647c53c9c,Savings Account,PCB PocketSave,744089,PCB Soweto Branch,Gauteng,2021-07-12,,Active,30695.47,27644.89,30889.53,0.1915,Variable,ZAR,0.0,2024-07-26
6d0f96db-bb74-4fd4-8f9e-bee6bd93e02a,1932067501,c046d20f-f8d8-4553-bbfd-4056d99a8e05,Cheque Account,PCB Plus Cheque,205253,PCB Upington Branch,Northern Cape,2023-02-05,,Active,18157.72,17820.7,17683.25,0.0842,Variable,ZAR,49647.04,2023-10-10
7d892f2f-a0ca-4968-a82c-b4bad3abea2a,7033881481,d289ca96-2681-47e6-97d3-3e049227ddd7,Savings Account,PCB PocketSave,113766,PCB Johannesburg Branch,Gauteng,2024-12-19,,Active,4579.68,4256.14,4778.28,0.0518,Fixed,ZAR,0.0,2024-12-21
c6a19e57-fdf4-4409-bc45-021eb6ccf5a9,9435963050,d287f928-f6d1-4afa-9353-7914edfdc45e,Savings Account,PCB Goal Saver,949833,PCB Bellville Branch,Western Cape,2019-12-26,,Active,6984.1,6854.17,7044.77,0.0343,Variable,ZAR,0.0,2024-04-05
f8a4dc98-7a81-47c8-aaf2-082ae5b61c61,1684848224,122bed0b-4808-451c-bd47-58db96f860bc,Cheque Account,PCB Prestige Cheque,945253,PCB Johannesburg Branch,Gauteng,2017-09-17,,Active,4899.53,4579.72,4657.82,0.1016,Fixed,ZAR,57972.85,2024-09-07
